Name,Number,Code TLA,Codename,Pre-release codename,Manufacturer,FCC,TENAA,Canada,EEC,Bluetooth,Wifi
Nokia 6.2 India,TA-1201,SLD,Star-lord?,,Longcheer?,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90462
Nokia 6.2,TA-1187,SLD,Star-lord?,,,https://fccid.io/2AJOTTA-1187,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90452
Nokia 6.2,TA-1200,SLD,Star-lord?,,Longcheer?,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90460
Nokia 7 Plus (Dual SIM),TA-1046,B2N,Onyx,Bamboo,,,,,,,
Nokia 7 Plus (Dual SIM),TA-1062,B2N,Onyx,Bamboo,,,,,,,
Nokia 7 Plus,TA-1055,B2N,Onyx,Bamboo,,,,,,,
Nokia 7,TA-1041,C1N,Charm,,,,,,,,
Nokia 7.1 (Dual SIM),TA-1085,CTL,Crystal,,,,,,,,
Nokia 7.1 (India),TA-1097,CTL,Crystal,,,,,,,,
Nokia 7.1 (Single SIM),TA-1096,CTL,Crystal,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=10&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 7.1,TA-1095,CTL,Crystal,,,,,,,,
Nokia 7.1,TA-1100,CTL,Crystal,,,,,,,,
Nokia 7.2 Dual-SIM,TA-1196,DDV,Daredevil,,Longcheer?,https://fccid.io/2AJOTTA-1196,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90456
Nokia 7.2 India,TA-1193,DDV,Daredevil,,Longcheer / DBG Technology India,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90454
Nokia 7.2 Single-SIM,TA-1178,DDV,Daredevil,,Longcheer?,https://fccid.io/2AJOTTA-1178,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90187
Nokia 7.2,TA-1181,DDV,Daredevil,,Longcheer,https://fccid.io/2AJOTTA-1181,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90450
Nokia 8 (China),TA-1052,NB1,Bang,,,,,,,,
Nokia 8 (Dual SIM),TA-1004,NB1,Bang,,,,,,,,
Nokia 8 (Single SIM),TA-1012,NB1,Bang,,,,,,,,
